Rank_by_drop,FeatureSet,acc_mean,acc_sd,f1_macro_mean,f1_macro_sd,prec_macro_mean,prec_macro_sd,rec_macro_mean,rec_macro_sd,acc_drop_from_full
1,Drop_I,0.6164923174124365,0.0026588132920906684,0.5740934666418116,0.007087450933106557,0.5482845739694442,0.006790982934926506,0.6514766306318136,0.008605975253635554,0.3490891846638149
2,Drop_E,0.6458517253617607,0.007172807384040142,0.5751436778379294,0.009601068135186765,0.5401405667301666,0.011256155078722655,0.6635914534009575,0.01212701039421852,0.31972977671449065
3,Drop_C,0.6739701017876036,0.007138457825684813,0.5972320056460608,0.012762263345749952,0.5651692775556957,0.011966212217245989,0.6752297224547366,0.010968494849728446,0.29161140028864774
4,Drop_S,0.7138511706031893,0.0033094320863032425,0.657334396408411,0.00661384246488497,0.6249945707981841,0.009667074143723808,0.7274910170476805,0.0072668860851711516,0.2517303314730621
5,Drop_R,0.7217962331315111,0.005076992710257036,0.6741412907996287,0.009275722582743074,0.6453583974520644,0.0061813663134300135,0.7405194414504694,0.012301267661411944,0.24378526894474029
6,Drop_A,0.7300826936995894,0.00342281226166465,0.6769628363266562,0.005022519192514288,0.6472367105809774,0.007444880000891344,0.7420297049239728,0.008339881631148323,0.23549880837666193
7,Full6,0.9655815020762514,0.0015480764242570442,0.9143117155787776,0.0034174351040924017,0.9248600058679518,0.0027837294817487607,0.9101186691402046,0.004548671553940816,0.0
