Rank,FeatureSet,acc_mean,acc_sd,f1_macro_mean,f1_macro_sd,prec_macro_mean,prec_macro_sd,rec_macro_mean,rec_macro_sd
1,Full6,0.9655815020762514,0.0015480764242570442,0.9143117155787776,0.0034174351040924017,0.9248600058679518,0.0027837294817487607,0.9101186691402046,0.004548671553940816
2,Top2Scores,0.25250601108842957,0.004597022475262587,0.10457365109712828,0.004862512200592877,0.10979737356507294,0.0031917114821984646,0.1374221214499897,0.008063135895437758
3,MeanOnly,0.20049048940589306,0.008005194895487143,0.10930919229944921,0.004953758288542333,0.11850874085754692,0.0032701386446670083,0.12947488635484414,0.006811562519721208
4,Top1Score,0.08689993494107376,0.01063571493488584,0.04427956377130123,0.0019887056915656827,0.04872806834939715,0.005404368359541161,0.07518734153639292,0.005173291630584784
